model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
cluster_2_one_at_a_time,ok,post_x_cluster_2_z,~1,,,0.004597702764334941,0.09279783314124805,0.04954536769556628,0.9604846833782399,-0.17728270803586862,0.1864781135645385,0.004597702764334941,0.0076238169947929375
cluster_2_one_at_a_time,ok,OLSE,~1,,,0,0,,,0,0,0,0
cluster_2_one_at_a_time,ok,ind_post,:=,a_post*b,ind_post,0.1549402036786258,0.03327853241145286,4.6558604737420115,3.2263037945678974e-6,0.08971547869382934,0.22016492866342224,0.15494020367862582,0.07590480147011923
cluster_2_one_at_a_time,ok,ind_cluster,:=,a_k*b,ind_cluster,0.03860721957049075,0.04565623932269079,0.8456066496765375,0.3977722147298852,-0.050877365171524566,0.12809180431250605,0.03860721957049075,0.023290322259993727
cluster_2_one_at_a_time,ok,total_post,:=,c_post+ind_post,total_post,0.3237214985959477,0.08095105588290008,3.9989780870088674,6.361656911257896e-5,0.16506034455497431,0.48238265263692104,0.3237214985959477,0.15859031742014307
cluster_2_one_at_a_time,ok,total_cluster,:=,c_k+ind_cluster,total_cluster,0.1616031094732541,0.12612470252943367,1.2812962586416474,0.20008962653183104,-0.08559676504526367,0.40880298399177184,0.1616031094732541,0.097489240088296
cluster_3_one_at_a_time,ok,OLSE,=~,olse_q1_mean_z,,0.8646761263606477,0.02562119692794024,33.748467286386116,0,0.8144595031410766,0.9148927495802188,0.8801979009727476,0.8804787496015598
cluster_3_one_at_a_time,ok,OLSE,=~,olse_q2_mean_z,,0.8066799996809555,0.02861846774632592,28.18739307888062,0,0.7505888336054356,0.8627711657564754,0.8211606876026134,0.8214227537372849
cluster_3_one_at_a_time,ok,OLSE,=~,olse_q3_mean_z,,0.8382544534180825,0.031998576367693064,26.19661711776699,0,0.7755383961808495,0.9009705106553154,0.8533019333899275,0.853574207600366
cluster_3_one_at_a_time,ok,OLSE,=~,olse_q4_mean_z,,0.8142871360782287,0.02476923118821517,32.87494593153357,0,0.7657403350245807,0.8628339371318766,0.8289043794719325,0.8291688550459021
