model,status,lhs,op,rhs,label,est,se,z,pvalue,ci.lower,ci.upper,std.lv,std.all
primary_latent_parcel_sem_cluster_course,ok,olse_q1_mean_z,~1,,,-0.13395842619399034,0.06137751442427769,-2.182532600912941,0.02907024791707591,-0.25425614392616225,-0.013660708461818438,-0.13395842619399034,-0.134001192032811
primary_latent_parcel_sem_cluster_course,ok,olse_q2_mean_z,~1,,,-0.1250093458282121,0.062165013104170046,-2.0109276840130907,0.04433309571272126,-0.24685053261084586,-0.0031681590455783504,-0.1250093458282121,-0.12504925290101448
primary_latent_parcel_sem_cluster_course,ok,olse_q3_mean_z,~1,,,-0.1299282238337641,0.05844269697754346,-2.223172963487446,0.026204139177196106,-0.2444738050691371,-0.015382642598391089,-0.1299282238337641,-0.12996970506683658
primary_latent_parcel_sem_cluster_course,ok,olse_q4_mean_z,~1,,,-0.12616205830082974,0.056026040384263794,-2.2518467740273374,0.024331956673713906,-0.23597107965037334,-0.016353036951286135,-0.12616205830082974,-0.12620233247899007
primary_latent_parcel_sem_cluster_course,ok,olse_q5_mean_z,~1,,,-0.12918576267986012,0.061344514639838525,-2.1059056940677783,0.03521254497140336,-0.24941880202303368,-0.008952723336686563,-0.12918576267986012,-0.1292270048685515
primary_latent_parcel_sem_cluster_course,ok,final_numeric_grade_z,~1,,,-0.1299840926025199,0.08725638695894831,-1.4896799779673866,0.13630840158519697,-0.30100346846314896,0.041035283258109206,-0.1299840926025199,-0.13002556578233415
primary_latent_parcel_sem_cluster_course,ok,post_redesign,~1,,,0.39923483712409086,0.03106137437988205,12.853096332487748,0,0.3383556620292069,0.4601140122189748,0.39923483712409086,0.8151956841275514
primary_latent_parcel_sem_cluster_course,ok,post_x_mastery_z,~1,,,9.652607335281901e-4,0.09330806901271838,0.010344879534444337,0.9917461275531656,-0.1819151939983776,0.18384571546543396,9.652607335281901e-4,0.0015973400506757692
primary_latent_parcel_sem_cluster_course,ok,post_x_social_z,~1,,,-0.020130150934454284,0.10307621824593058,-0.19529384446784376,0.8451629156995197,-0.22215582635906853,0.18189552449015997,-0.020130150934454284,-0.031528444844916015
primary_latent_parcel_sem_cluster_course,ok,post_x_structural_z,~1,,,-0.005447994528984726,0.09577010933222149,-0.05688616800139507,0.9546358728058626,-0.1931539596156021,0.18225797055763265,-0.005447994528984726,-0.008910465050513005
primary_latent_parcel_sem_cluster_course,ok,OLSE,~1,,,0,0,,,0,0,0,0
primary_latent_parcel_sem_cluster_course,ok,ind_post,:=,a_post*b,ind_post,0.15679794864119848,0.034479998103296376,4.547504561092426,5.428574422650101e-6,0.08921839417172822,0.22437750311066873,0.15679794864119848,0.0768149020259794
primary_latent_parcel_sem_cluster_course,ok,ind_mastery,:=,a_m*b,ind_mastery,0.08509044413866158,0.033697348510902635,2.525137671028655,0.01156529726507105,0.019044854682798026,0.15113603359452515,0.08509044413866157,0.05143592975125544
primary_latent_parcel_sem_cluster_course,ok,ind_social,:=,a_s*b,ind_social,0.16587398734992626,0.021726651881430987,7.634585773047387,2.2648549702353193e-14,0.12329053215768213,0.20845744254217038,0.16587398734992626,0.10594032762293323
primary_latent_parcel_sem_cluster_course,ok,ind_structural,:=,a_c*b,ind_structural,0.1201724320225474,0.028238169975281353,4.255673513111575,2.0842065642678875e-5,0.06482663588167567,0.17551822816341914,0.1201724320225474,0.07349870505722637
primary_latent_parcel_sem_cluster_course,ok,total_post,:=,c_post+ind_post,total_post,0.35410734489670415,0.07118239338261498,4.9746479159998085,6.536633612164167e-7,0.21459241753341657,0.4936222722599917,0.35410734489670415,0.17347625552910498
primary_latent_parcel_sem_cluster_course,ok,total_mastery,:=,c_m+ind_mastery,total_mastery,0.30115195596233413,0.11129204358413275,2.7059612373338635,0.006810699528255082,0.08302355877157203,0.5192803531530963,0.30115195596233413,0.18204195557011743
primary_latent_parcel_sem_cluster_course,ok,total_social,:=,c_s+ind_social,total_social,0.45790984060441564,0.13073481934600445,3.5025851788765285,4.6076643283954333e-4,0.20167430316089668,0.7141453780479345,0.45790984060441564,0.29245766205076096
primary_latent_parcel_sem_cluster_course,ok,total_structural,:=,c_c+ind_structural,total_structural,0.4516624118168185,0.11865612695165803,3.8064820032498727,1.4095754453991027e-4,0.2191006764465564,0.6842241471870806,0.4516624118168185,0.27624141271711405
